Year,State,State_Mandate,Shootings,Body_Cam_Rate,Threat_Rate,Weapon_Rate,Flee_Rate,Gender_Rate,Population,Race_Diversity,AdoptionYear,Mandate,Post
2018,MO,0,0.28,0,8.82E-07,1.00E-06,4.12E-07,5.88E-08,6125990,1,NA,0,1
2019,MO,0,0.36,0,7.27E-07,9.09E-07,5.46E-07,9.09E-08,6140480,1,NA,0,1
2020,MO,0,0.28,0,7.65E-07,9.41E-07,5.29E-07,5.88E-08,6154740,1,NA,0,1
2021,MO,0,0.13,1.25E-07,6.25E-07,1.00E-06,3.75E-07,0,6171370,1,NA,0,1
2022,MO,0,0.1,0,3.33E-07,1.00E-06,6.67E-07,0,6179410,1,NA,0,1
2015,MS,0,0.2,0,6.67E-07,8.33E-07,1.67E-07,0,2990230,1,NA,0,0
2016,MS,0,0.27,0,8.75E-07,7.50E-07,5.00E-07,0,2990600,1,NA,0,1
2017,MS,0,0.5,1.33E-07,7.33E-07,8.67E-07,2.67E-07,6.67E-08,2990670,1,NA,0,1
2018,MS,0,0.27,0,7.50E-07,8.75E-07,5.00E-07,1.25E-07,2982880,1,NA,0,1
2019,MS,0,0.44,1.54E-07,6.92E-07,1.00E-06,6.15E-07,0,2978230,1,NA,0,1
2020,MS,0,0.3,1.11E-07,7.78E-07,1.00E-06,2.22E-07,0,2958540,1,NA,0,1
2021,MS,0,0.24,0,5.71E-07,1.00E-06,4.29E-07,0,2947210,1,NA,0,1
2015,MT,0,0.19,0,1.00E-06,1.00E-06,5.00E-07,0,1031500,1,NA,0,0
2016,MT,0,0.48,2.00E-07,6.00E-07,1.00E-06,0,0,1042140,1,NA,0,1
2017,MT,0,0.38,2.50E-07,7.50E-07,1.00E-06,7.50E-07,0,1053860,1,NA,0,1
2018,MT,0,0.47,2.00E-07,4.00E-07,1.00E-06,0,2.00E-07,1061820,1,NA,0,1
2019,MT,0,0.56,0,6.67E-07,1.00E-06,3.33E-07,0,1070120,1,NA,0,1
2020,MT,0,0.55,0,8.33E-07,1.00E-06,3.33E-07,0,1087230,1,NA,0,1
2021,MT,0,0.09,0,1.00E-06,1.00E-06,1.00E-06,0,1106520,1,NA,0,1
2022,MT,0,0.09,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0,1122100,1,NA,0,1
2015,NC,0,0.2,0,8.00E-07,1.00E-06,2.50E-07,1.00E-07,10037220,1,NA,0,0
2016,NC,0,0.3,2.33E-07,6.33E-07,9.33E-07,2.33E-07,3.33E-08,10161800,1,NA,0,1
2017,NC,0,0.21,1.36E-07,7.27E-07,1.00E-06,4.55E-07,4.55E-08,10275760,1,NA,0,1
2018,NC,0,0.23,2.50E-07,6.25E-07,1.00E-06,4.17E-08,0,10391360,1,NA,0,1
2019,NC,0,0.3,9.68E-08,7.42E-07,9.68E-07,2.58E-07,3.23E-08,10501380,1,NA,0,1
2020,NC,0,0.2,9.52E-08,8.10E-07,9.05E-07,5.24E-07,0,10449650,1,NA,0,1
2021,NC,0,0.11,8.33E-08,6.67E-07,9.17E-07,3.33E-07,0,10564320,1,NA,0,1
2022,NC,0,0.05,2.00E-07,8.00E-07,1.00E-06,6.00E-07,0,10710790,1,NA,0,1
2015,ND,0,0.13,0,1.00E-06,1.00E-06,0,0,755537,1,NA,0,0
2016,ND,0,0.13,0,0,0,1.00E-06,0,756114,1,NA,0,1
2017,ND,0,0.26,0,5.00E-07,1.00E-06,0,0,756755,1,NA,0,1
2018,ND,0,0.39,3.33E-07,6.67E-07,6.67E-07,6.67E-07,0,760062,1,NA,0,1
2020,ND,0,0.26,0,1.00E-06,1.00E-06,0,0,779563,1,NA,0,1
2022,ND,0,0.13,0,0,0,1.00E-06,0,781057,1,NA,0,1
2015,NE,0,0.37,0,8.57E-07,8.57E-07,0,1.43E-07,1892060,1,NA,0,0
2016,NE,0,0.31,1.67E-07,3.33E-07,8.33E-07,6.67E-07,0,1906480,1,NA,0,1
2018,NE,0,0.05,0,1.00E-06,1.00E-06,0,0,1925510,1,NA,0,1
2019,NE,0,0.31,1.67E-07,8.33E-07,1.00E-06,1.67E-07,0,1932570,1,NA,0,1
2020,NE,0,0.2,2.50E-07,5.00E-07,1.00E-06,0,0,1963390,1,NA,0,1
2021,NE,0,0.2,7.50E-07,1.00E-06,1.00E-06,5.00E-07,2.50E-07,1964540,1,NA,0,1
2015,NH,0,0.22,3.33E-07,3.33E-07,1.00E-06,0,0,1337480,1,NA,0,0
2016,NH,0,0.15,0,5.00E-07,1.00E-06,5.00E-07,0,1343690,1,NA,0,1
2017,NH,0,0.07,0,0,1.00E-06,0,0,1350400,1,NA,0,1
2018,NH,0,0.15,0,5.00E-07,1.00E-06,0,0,1355060,1,NA,0,1
2019,NH,0,0.15,0,5.00E-07,1.00E-06,0,0,1360780,1,NA,0,1
2020,NH,0,0.22,0,3.33E-07,1.00E-06,0,0,1378760,1,NA,0,1
2015,NJ,0,0.14,0,7.50E-07,1.00E-06,8.33E-08,0,8870310,1,NA,0,0
2016,NJ,0,0.1,1.11E-07,4.44E-07,1.00E-06,5.56E-07,0,8873580,1,NA,0,1
2017,NJ,0,0.09,0,5.00E-07,1.00E-06,3.75E-07,0,8888150,1,NA,0,1
2018,NJ,0,0.1,1.11E-07,5.56E-07,1.00E-06,4.44E-07,1.11E-07,8891730,1,NA,0,1
2019,NJ,0,0.09,1.25E-07,6.25E-07,1.00E-06,2.50E-07,1.25E-07,8891260,1,NA,0,1
2020,NJ,0,0.05,4.00E-07,8.00E-07,8.00E-07,2.00E-07,0,9272790,1,NA,0,1
2021,NJ,0,0.01,0,1.00E-06,1.00E-06,0,0,9270540,1,NA,0,1
2022,NJ,0,0.01,1.00E-06,1.00E-06,1.00E-06,0,0,9295230,1,NA,0,1
2015,NM,0,0.77,1.25E-07,9.38E-07,9.38E-07,1.88E-07,0,2090070,1,NA,0,0
2016,NM,0,0.86,3.33E-07,8.33E-07,1.00E-06,3.33E-07,5.56E-08,2092560,1,NA,0,1
2017,NM,0,0.67,2.86E-07,5.71E-07,7.86E-07,2.14E-07,1.43E-07,2092840,1,NA,0,1
2018,NM,0,0.81,0,5.29E-07,8.82E-07,4.12E-07,5.88E-08,2093750,1,NA,0,1
2019,NM,0,0.48,1.00E-07,7.00E-07,1.00E-06,1.00E-07,2.00E-07,2099630,1,NA,0,1
2020,NM,0,0.57,8.33E-08,5.83E-07,1.00E-06,5.83E-07,0,2118610,1,NA,0,1
2021,NM,0,0.61,1.54E-07,7.69E-07,9.23E-07,6.92E-07,0,2117330,1,NA,0,1
2022,NM,0,0.14,0,6.67E-07,1.00E-06,3.33E-07,0,2113870,1,NA,0,1
2015,NV,1,0.56,2.50E-07,8.75E-07,9.38E-07,2.50E-07,1.25E-07,2868530,1,2017,1,0
2016,NV,1,0.34,1.00E-07,7.00E-07,9.00E-07,5.00E-07,0,2919560,1,2017,1,0
2017,NV,1,0.47,2.14E-07,7.14E-07,1.00E-06,7.14E-08,0,2972100,1,2017,1,1
2018,NV,1,0.49,5.33E-07,6.67E-07,1.00E-06,4.67E-07,0,3030730,1,2017,1,1
2019,NV,1,0.29,3.33E-07,5.56E-07,8.89E-07,3.33E-07,1.11E-07,3090770,1,2017,1,1
2020,NV,1,0.77,4.58E-07,7.08E-07,9.58E-07,3.75E-07,0,3116970,1,2017,1,1
2021,NV,1,0.03,0,0,1.00E-06,1.00E-06,0,3148140,1,2017,1,1
2022,NV,1,0.03,0,1.00E-06,1.00E-06,1.00E-06,0,3176120,1,2017,1,1
2015,NY,0,0.09,0,8.24E-07,8.24E-07,5.29E-07,0,19657320,1,NA,0,0
2016,NY,0,0.08,0,8.13E-07,1.00E-06,1.88E-07,1.25E-07,19636390,1,NA,0,1
2017,NY,0,0.08,1.33E-07,7.33E-07,1.00E-06,4.00E-07,6.67E-08,19593850,1,NA,0,1
2018,NY,0,0.07,2.86E-07,7.14E-07,1.00E-06,2.14E-07,7.14E-08,19544100,1,NA,0,1
2019,NY,0,0.08,3.13E-07,8.13E-07,9.38E-07,2.50E-07,0,19463130,1,NA,0,1
2020,NY,0,0.07,3.57E-07,7.14E-07,1.00E-06,3.57E-07,0,20105170,1,NA,0,1
2021,NY,0,0.02,7.50E-07,2.50E-07,1.00E-06,1.00E-06,0,19848280,1,NA,0,1
2022,NY,0,0.01,5.00E-07,1.00E-06,1.00E-06,1.00E-06,0,19703750,1,NA,0,1
2015,OH,0,0.22,8.00E-08,8.00E-07,8.80E-07,1.60E-07,4.00E-08,11622320,1,NA,0,0
2016,OH,0,0.17,0,4.00E-07,9.50E-07,5.00E-07,1.00E-07,11640060,1,NA,0,1
2017,OH,0,0.27,1.29E-07,6.77E-07,8.71E-07,9.68E-08,0,11665710,1,NA,0,1
2018,OH,0,0.24,7.14E-08,6.79E-07,8.93E-07,2.14E-07,7.14E-08,11680890,1,NA,0,1
2019,OH,0,0.18,1.43E-07,6.19E-07,9.52E-07,4.76E-07,0,11696510,1,NA,0,1
2020,OH,0,0.13,6.67E-08,6.67E-07,1.00E-06,2.67E-07,6.67E-08,11798910,1,NA,0,1
2021,OH,0,0.14,3.75E-07,6.25E-07,9.38E-07,5.00E-07,6.25E-08,11767340,1,NA,0,1
2022,OH,0,0.02,1.00E-06,0,5.00E-07,1.00E-06,0,11777870,1,NA,0,1
2015,OK,0,0.77,1.00E-07,8.33E-07,8.67E-07,3.33E-07,0,3910520,1,NA,0,0
2016,OK,0,0.48,2.11E-07,6.32E-07,8.42E-07,3.68E-07,0,3928140,1,NA,0,1
2017,OK,0,0.56,1.36E-07,7.73E-07,9.55E-07,2.27E-07,0,3933600,1,NA,0,1
2018,OK,0,0.76,1.00E-07,5.33E-07,8.67E-07,3.00E-07,3.33E-08,3943490,1,NA,0,1
2019,OK,0,0.73,3.45E-07,8.28E-07,9.66E-07,4.48E-07,3.45E-08,3960680,1,NA,0,1
2020,OK,0,0.53,1.91E-07,7.14E-07,9.52E-07,3.81E-07,4.76E-08,3965420,1,NA,0,1
2021,OK,0,0.15,3.33E-07,1.00E-06,1.00E-06,5.00E-07,1.67E-07,3992240,1,NA,0,1
2022,OK,0,0.05,5.00E-07,1.00E-06,1.00E-06,5.00E-07,0,4026230,1,NA,0,1
2015,OR,0,0.32,0,7.69E-07,1.00E-06,2.31E-07,7.69E-08,4018540,1,NA,0,0
2016,OR,0,0.29,8.33E-08,4.17E-07,9.17E-07,1.67E-07,0,4093270,1,NA,0,1
2017,OR,0,0.27,0,3.64E-07,9.09E-07,5.46E-07,0,4147290,1,NA,0,1
2018,OR,0,0.29,8.33E-08,5.00E-07,9.17E-07,4.17E-07,0,4183540,1,NA,0,1
2019,OR,0,0.36,6.67E-08,6.00E-07,9.33E-07,1.33E-07,6.67E-08,4216120,1,NA,0,1
2020,OR,0,0.24,3.00E-07,7.00E-07,1.00E-06,3.00E-07,0,4243780,1,NA,0,1
2021,OR,0,0.14,1.67E-07,3.33E-07,1.00E-06,3.33E-07,0,4254280,1,NA,0,1
2022,OR,0,0.02,0,0,1.00E-06,1.00E-06,0,4247370,1,NA,0,1
2015,PA,0,0.13,0,8.24E-07,8.82E-07,2.35E-07,0,12789840,1,NA,0,0
2016,PA,0,0.13,0,6.88E-07,8.75E-07,4.38E-07,6.25E-08,12788470,1,NA,0,1
2017,PA,0,0.14,0,5.00E-07,8.89E-07,1.67E-07,0,12794680,1,NA,0,1
2018,PA,0,0.14,0,7.22E-07,8.89E-07,4.44E-07,0,12809110,1,NA,0,1
2019,PA,0,0.09,0,1.00E-06,1.00E-06,3.33E-07,8.33E-08,12798880,1,NA,0,1
2020,PA,0,0.11,2.14E-07,6.43E-07,8.57E-07,3.57E-07,7.14E-08,12996140,1,NA,0,1
2021,PA,0,0.1,0,5.39E-07,9.23E-07,2.31E-07,0,13015570,1,NA,0,1
2022,PA,0,0.04,2.00E-07,6.00E-07,1.00E-06,2.00E-07,0,12984990,1,NA,0,1
2016,RI,0,0.19,0,1.00E-06,1.00E-06,1.00E-06,0,1057820,1,NA,0,1
2015,SC,1,0.35,0,8.82E-07,9.41E-07,1.77E-07,5.88E-08,4896010,1,2015,1,1
2016,SC,1,0.3,2.67E-07,9.33E-07,9.33E-07,3.33E-07,0,4963030,1,2015,1,1
2017,SC,1,0.18,1.11E-07,5.56E-07,8.89E-07,3.33E-07,0,5027100,1,2015,1,1
2018,SC,1,0.24,2.50E-07,6.67E-07,1.00E-06,2.50E-07,2.50E-07,5091700,1,2015,1,1
2019,SC,1,0.23,1.67E-07,5.83E-07,1.00E-06,4.17E-07,0,5157700,1,2015,1,1
2020,SC,1,0.21,0,8.18E-07,1.00E-06,1.82E-07,0,5132250,1,2015,1,1
2021,SC,1,0.12,5.00E-07,6.67E-07,1.00E-06,5.00E-07,0,5194270,1,2015,1,1
2022,SC,1,0.09,6.00E-07,2.00E-07,8.00E-07,6.00E-07,0,5287940,1,2015,1,1
2015,SD,0,0.35,0,1.00E-06,1.00E-06,3.33E-07,0,854663,1,NA,0,0
2016,SD,0,0.35,0,1.00E-06,6.67E-07,0,0,863693,1,NA,0,1
2017,SD,0,0.34,0,1.00E-06,1.00E-06,3.33E-07,0,873732,1,NA,0,1
2018,SD,0,0.11,0,1.00E-06,1.00E-06,1.00E-06,0,879386,1,NA,0,1
2019,SD,0,0.34,0,6.67E-07,1.00E-06,3.33E-07,0,887127,1,NA,0,1
2015,TN,0,0.23,0,9.33E-07,9.33E-07,1.33E-07,0,6595350,1,NA,0,0
2016,TN,0,0.32,3.33E-07,4.76E-07,9.52E-07,3.81E-07,4.76E-08,6651280,1,NA,0,1
2017,TN,0,0.3,0,8.00E-07,9.50E-07,4.50E-07,5.00E-08,6714750,1,NA,0,1
2018,TN,0,0.34,4.35E-08,6.09E-07,1.00E-06,3.91E-07,4.35E-08,6778180,1,NA,0,1
2019,TN,0,0.42,6.90E-08,8.28E-07,9.66E-07,2.07E-07,6.90E-08,6830330,1,NA,0,1
2020,TN,0,0.29,0,6.50E-07,9.00E-07,4.50E-07,0,6927900,1,NA,0,1
2021,TN,0,0.24,1.18E-07,7.65E-07,1.00E-06,4.71E-07,2.94E-07,6965740,1,NA,0,1
2022,TN,0,0.06,0,5.00E-07,1.00E-06,5.00E-07,0,7062220,1,NA,0,1
2015,TX,1,0.32,3.41E-08,7.27E-07,9.43E-07,2.96E-07,3.41E-08,27468530,1,2015,1,1
2016,TX,1,0.24,1.19E-07,6.27E-07,8.96E-07,3.43E-07,5.97E-08,27914060,1,2015,1,1
2017,TX,1,0.18,1.54E-07,6.92E-07,9.23E-07,3.27E-07,1.35E-07,28291020,1,2015,1,1
2018,TX,1,0.22,6.45E-08,6.45E-07,8.87E-07,2.90E-07,9.68E-08,28624560,1,2015,1,1
2019,TX,1,0.29,1.31E-07,7.14E-07,9.05E-07,4.52E-07,9.52E-08,28986790,1,2015,1,1
2020,TX,1,0.2,1.38E-07,7.59E-07,9.14E-07,3.10E-07,1.72E-08,29239570,1,2015,1,1
2021,TX,1,0.11,4.24E-07,6.36E-07,9.39E-07,4.55E-07,0,29570350,1,2015,1,1
2022,TX,1,0.06,5.56E-08,6.11E-07,9.44E-07,6.11E-07,0,30113490,1,2015,1,1
2015,UT,1,0.3,5.56E-07,1.00E-06,1.00E-06,0,0,2983630,1,2015,1,1
2016,UT,1,0.26,1.25E-07,5.00E-07,1.00E-06,5.00E-07,0,3044240,1,2015,1,1
2017,UT,1,0.16,6.00E-07,4.00E-07,1.00E-06,2.00E-07,0,3103540,1,2015,1,1
2018,UT,1,0.51,1.88E-07,5.63E-07,1.00E-06,5.00E-07,0,3155150,1,2015,1,1
2019,UT,1,0.28,5.56E-07,5.56E-07,8.89E-07,4.44E-07,0,3203380,1,2015,1,1
2020,UT,1,0.4,1.54E-07,5.39E-07,1.00E-06,4.62E-07,0,3284080,1,2015,1,1
2021,UT,1,0.12,5.00E-07,7.50E-07,1.00E-06,5.00E-07,0,3339740,1,2015,1,1
2015,VA,0,0.19,2.50E-07,8.13E-07,8.75E-07,1.88E-07,0,8367300,1,NA,0,0
2016,VA,0,0.19,2.50E-07,5.00E-07,9.38E-07,6.25E-08,6.25E-08,8417650,1,NA,0,1
2017,VA,0,0.22,0,6.32E-07,1.00E-06,2.11E-07,1.05E-07,8471010,1,NA,0,1
2018,VA,0,0.21,1.11E-07,6.11E-07,8.33E-07,6.11E-07,5.56E-08,8510920,1,NA,0,1
2019,VA,0,0.11,1.11E-07,8.89E-07,1.00E-06,3.33E-07,1.11E-07,8556640,1,NA,0,1
2020,VA,0,0.14,1.67E-07,6.67E-07,1.00E-06,4.17E-07,0,8637620,1,NA,0,1
2021,VA,0,0.15,7.69E-08,7.69E-07,9.23E-07,3.85E-07,7.69E-08,8658910,1,NA,0,1
2022,VA,0,0.03,3.33E-07,6.67E-07,1.00E-06,3.33E-07,3.33E-07,8683410,1,NA,0,1
2015,VT,0,0.16,1.00E-06,1.00E-06,1.00E-06,0,0,625810,1,NA,0,0
2016,VT,0,0.32,1.00E-06,0,5.00E-07,5.00E-07,0,624366,1,NA,0,1
2017,VT,0,0.16,0,1.00E-06,1.00E-06,0,0,625132,1,NA,0,1
2018,VT,0,0.32,0,0,1.00E-06,5.00E-07,0,624802,1,NA,0,1
2019,VT,0,0.48,0,1.00E-06,1.00E-06,3.33E-07,0,624046,1,NA,0,1
2015,WA,1,0.21,0,8.00E-07,8.00E-07,4.00E-07,0,7167290,1,2015,1,1
2016,WA,1,0.27,1.00E-07,4.00E-07,1.00E-06,1.00E-07,1.50E-07,7299960,1,2015,1,1
2017,WA,1,0.32,1.67E-07,4.58E-07,1.00E-06,2.50E-07,4.17E-08,7427950,1,2015,1,1
2018,WA,1,0.23,5.88E-08,5.88E-07,9.41E-07,3.53E-07,0,7526790,1,2015,1,1
2019,WA,1,0.35,1.48E-07,5.93E-07,8.89E-07,1.85E-07,0,7614020,1,2015,1,1
2020,WA,1,0.22,1.18E-07,5.29E-07,8.82E-07,5.88E-07,1.18E-07,7727210,1,2015,1,1
2021,WA,1,0.03,5.00E-07,5.00E-07,5.00E-07,5.00E-07,0,7743760,1,2015,1,1
2022,WA,1,0.01,0,0,1.00E-06,0,0,7794120,1,2015,1,1
2015,WI,0,0.19,0,6.36E-07,9.09E-07,1.82E-07,0,5762930,1,NA,0,0
2016,WI,0,0.29,2.94E-07,4.71E-07,9.41E-07,2.94E-07,5.88E-08,5775170,1,NA,0,1
2017,WI,0,0.38,1.82E-07,5.46E-07,9.09E-07,3.64E-07,0,5793150,1,NA,0,1
2018,WI,0,0.19,2.73E-07,4.55E-07,1.00E-06,2.73E-07,0,5809320,1,NA,0,1
2019,WI,0,0.29,5.88E-08,4.71E-07,9.41E-07,2.94E-07,0,5824580,1,NA,0,1
2020,WI,0,0.2,8.33E-08,5.00E-07,1.00E-06,3.33E-07,0,5897380,1,NA,0,1
2021,WI,0,0.12,2.86E-07,7.14E-07,1.00E-06,4.29E-07,0,5881610,1,NA,0,1
2022,WI,0,0.02,1.00E-06,0,1.00E-06,1.00E-06,0,5903980,1,NA,0,1
2015,WV,0,0.43,0,7.50E-07,1.00E-06,5.00E-07,1.25E-07,1843330,1,NA,0,0
2016,WV,0,0.44,2.50E-07,5.00E-07,1.00E-06,1.25E-07,0,1832440,1,NA,0,1
2017,WV,0,0.38,0,7.14E-07,1.00E-06,4.29E-07,0,1818680,1,NA,0,1
2018,WV,0,0.28,4.00E-07,8.00E-07,1.00E-06,4.00E-07,0,1805950,1,NA,0,1
2019,WV,0,0.67,8.33E-08,8.33E-07,9.17E-07,5.00E-07,8.33E-08,1795260,1,NA,0,1
2020,WV,0,0.22,0,7.50E-07,7.50E-07,0,0,1791650,1,NA,0,1
2021,WV,0,0.06,0,1.00E-06,1.00E-06,1.00E-06,0,1785620,1,NA,0,1
2022,WV,0,0.11,0,5.00E-07,1.00E-06,5.00E-07,0,1774120,1,NA,0,1
2015,WY,0,0.85,0,6.00E-07,1.00E-06,2.00E-07,2.00E-07,586389,1,NA,0,0
2016,WY,0,0.17,0,1.00E-06,1.00E-06,0,0,585243,1,NA,0,1
2017,WY,0,0.17,0,1.00E-06,1.00E-06,0,0,579994,1,NA,0,1
2018,WY,0,0.69,0,2.50E-07,7.50E-07,7.50E-07,0,579054,1,NA,0,1
2019,WY,0,0.17,0,1.00E-06,1.00E-06,0,0,580116,1,NA,0,1
2020,WY,0,0.17,0,1.00E-06,1.00E-06,1.00E-06,0,577681,1,NA,0,1